,Date,Hour,Price (Euros),Day,Month,Year,BusinessDay,Season,Night,Trend_abs,Trend
71,2010-01-03,24,39.34,3,1,2010,0,0,1,-4.209999999999994,2
72,2010-01-04,1,37.15,4,1,2010,1,0,1,-2.190000000000005,1
73,2010-01-04,2,33.47,4,1,2010,1,0,1,-3.6799999999999997,2
74,2010-01-04,3,28.0,4,1,2010,1,0,1,-5.469999999999999,2
75,2010-01-04,4,21.29,4,1,2010,1,0,1,-6.710000000000001,2
76,2010-01-04,5,16.92,4,1,2010,1,0,1,-4.369999999999997,2
77,2010-01-04,6,28.0,4,1,2010,1,0,1,11.079999999999998,1
78,2010-01-04,7,36.43,4,1,2010,1,0,1,8.43,1
79,2010-01-04,8,59.47,4,1,2010,1,0,0,23.04,1
80,2010-01-04,9,59.73,4,1,2010,1,0,0,0.259999999999998,1
81,2010-01-04,10,62.1,4,1,2010,1,0,0,2.3700000000000045,1
82,2010-01-04,11,62.74,4,1,2010,1,0,0,0.6400000000000006,1
83,2010-01-04,12,62.65,4,1,2010,1,0,0,-0.09000000000000341,1
84,2010-01-04,13,62.51,4,1,2010,1,0,0,-0.14000000000000057,1
85,2010-01-04,14,59.92,4,1,2010,1,0,0,-2.5899999999999963,1
86,2010-01-04,15,56.0,4,1,2010,1,0,0,-3.9200000000000017,2
87,2010-01-04,16,49.67,4,1,2010,1,0,0,-6.329999999999998,2
88,2010-01-04,17,54.4,4,1,2010,1,0,0,4.729999999999997,1
89,2010-01-04,18,71.11,4,1,2010,1,0,0,16.71,1
90,2010-01-04,19,78.77,4,1,2010,1,0,0,7.659999999999997,1
91,2010-01-04,20,64.46,4,1,2010,1,0,0,-14.310000000000002,2
92,2010-01-04,21,50.73,4,1,2010,1,0,0,-13.729999999999997,2
93,2010-01-04,22,43.9,4,1,2010,1,0,0,-6.829999999999998,2
94,2010-01-04,23,46.58,4,1,2010,1,0,0,2.6799999999999997,1
95,2010-01-04,24,43.38,4,1,2010,1,0,1,-3.1999999999999957,2
96,2010-01-05,1,37.9,5,1,2010,1,0,1,-5.480000000000004,2
97,2010-01-05,2,38.11,5,1,2010,1,0,1,0.21000000000000085,1
98,2010-01-05,3,29.99,5,1,2010,1,0,1,-8.120000000000001,2
99,2010-01-05,4,28.91,5,1,2010,1,0,1,-1.0799999999999983,1
100,2010-01-05,5,27.0,5,1,2010,1,0,1,-1.9100000000000001,1
