,Run,Episode,Return,Stage
0,0,0,-177769.1117925002,Training
1,0,1,-115697.7540104998,Training
2,0,0,15361.205546249997,Validation
3,0,1,22728.68599499996,Validation
4,1,0,-175715.38780200007,Training
5,1,1,-113667.40904850003,Training
6,1,0,2436.04985625,Validation
7,1,1,22868.166945749992,Validation
8,2,0,-184075.13282850067,Training
9,2,1,-118403.53864575046,Training
10,2,0,4633.641665999998,Validation
11,2,1,25504.130214000037,Validation
